X;Y;Z;idstation;nom;adresse1;adresse2;commune;numdansarr;nbbornette;stationbon;pole;ouverte;achevement;gid;code_insee
4.84451590396715;45.7599305258836;0;3031;Corneille / Servient;Rue Corneille;Angle Corneille / Servient;Lyon 3 ème;31;13;Non;tram;Oui;;36;69383
4.82166179835163;45.7520011769433;0;5015;Fulchiron;4, Quai Fulchiron;;Lyon 5 ème;15;19;Non;maillage;Oui;;37;69385
4.85348079711666;45.7571028581682;0;3037;Paul Bert / Garibaldi;Rue Paul Bert;Face place des Martyrs de la Résistance;Lyon 3 ème;37;20;Non;maillage (piscine Garibaldi);Oui;;38;69383
4.83578224398948;45.7598697352136;0;2035;Childebert/Rivière;Rue Marcel Gabriel Rivière;;Lyon 2 ème;35;27;Non;Commerces, hôtel Dieu, place, Parking;Non;;39;69382
4.84476493884258;45.7688513697594;0;6004;Foch;Cours Franklin Roosevelt;Angle rue Vendôme;Lyon 6 ème;4;20;Non;métro A, coeur quartier;Oui;;40;69386
4.82353267323631;45.7455815521805;0;2006;Place de l'Hippodrome;Place de l'Hippodrome;Angle cours Charlemagne;Lyon 2 ème;6;14;Non;coeur quartier;Oui;;41;69382
4.81313495281075;45.7579063089064;0;5007;Place de Trion;Place de Trion;Angle rue de Trion et place de Trion;Lyon 5 ème;7;16;Oui;Place de Trion, St Just, commerces;Oui;;42;69385
4.8557101486888;45.752592143714;0;3039;Place Bir Hakeim;Place Bir Hakeim;Au niveau rue Duvivier;Lyon 3 ème;39;13;Non;maillage;Oui;;43;69383
4.88728572321929;45.7495170788471;0;3012;Place du Château;Place du Château;A côté de l'Eglise;Lyon 3 ème;12;25;Non;coeur de quartier;Oui;;44;69383
4.82689094467313;45.7512303840984;0;2022;Place Carnot;Place Carnot;angle rue Général Plessier;Lyon 2 ème;22;30;Non;Place Carnot;Oui;;45;69382
4.85893496499598;45.757330738679;0;3038;Vivier Merle / Part-Dieu;65, Boulevard Vivier Merle;angle rue Paul Bert;Lyon 3 ème;38;40;Non;CAFAL;Oui;;46;69383
4.89672370709135;45.7691801944572;0;10049;Préssensé;294, Rue Francis de Préssensé;;VILLEURBANNE;49;16;Non;itinéraires cyclables;Oui;;47;69266
4.82776522186418;45.7742004407;0;4002;Mairie du 4e;Boulevard de la Croix Rousse;devant la mairie du 4ème;Lyon 4 ème;2;20;Oui;mairie;Oui;;48;69384
4.83470728245108;45.7797251519676;0;4003;Place Cdt Arnaud;Place Commandant Arnaud;angle rue Belfort;Lyon 4 ème;3;17;Oui;coeur quartier;Oui;;49;69384
4.82127926255568;45.7733105053725;0;4006;Philippe de Lassalle;Rue Philippe de Lassalle;angle rue Anselme;Lyon 4 ème;6;22;Oui;IUFM;Oui;;50;69384
4.82024492913168;45.7792901059158;0;4007;Place Flammarion;Place Flammarion;côté rue Philippe de Lassalle;Lyon 4 ème;7;18;Oui;maillage;Oui;;51;69384
4.88058491112699;45.7692120735822;0;10011;Gratte-Ciel;rue Branly;;VILLEURBANNE;11;16;Non;métro A, itinéraire cyclable;Oui;;52;69266
4.9011328928203;45.7650422669277;0;10013;Cusset;Rue Pierre Voyant;;VILLEURBANNE;13;20;Non;métro A, centre quartier;Oui;;53;69266
4.88073777969174;45.7617163505222;0;10018;Tolstoï / Florian;Rue Florian;Angle cours Tolstoï;VILLEURBANNE;18;11;Non;itinéraire cyclable;Oui;;54;69266
4.87396620986898;45.7675343020076;0;10028;Ecole de musique;Cours de la République;Angle Anatole France;VILLEURBANNE;28;24;Non;Conservatoire (A. France = itinéraire cyclable);Oui;;55;69266
4.88712372005919;45.7680704202146;0;10012;Zola / France;Rue de France;Angle cours Emile Zola;VILLEURBANNE;12;16;Non;IUT maison des sports, maison de l'image, centre culturel;Oui;;56;69266
